港澳台,#genre#
中天娱乐,http://211.23.114.106:8527/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
东风卫视,http://211.23.114.106:8578/http/60.251.39.91:8081/hls/68/810/ch31.m3u8
MuchTV,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
东森戏剧,http://211.23.114.106:8530/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
八大戏剧,http://211.23.114.106:8531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
TVBS欢乐,http://211.23.114.106:8532/http/60.251.39.91:8081/hls/65/807/ch17.m3u8
纬来戏剧,http://211.23.114.106:8533/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
龙华戏剧,http://211.23.114.106:8534/http/59.120.8.187:8066/hls/210/10010/cstv10.m3u8
龙华日韩,http://211.23.114.106:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
龙华偶像,http://211.23.114.106:8579/http/59.120.8.187:8066/hls/210/10012/cstv12.m3u8
年代新闻,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
东森新闻,http://211.23.114.106:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
中天新闻,http://211.23.114.106:8541/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
民视新闻,http://211.23.114.106:8542/http/60.251.39.91:8081/hls/73/815/ch51.m3u8
三立新闻,http://211.23.114.106:8543/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
TVBS新闻,http://211.23.114.106:8546/http/116.50.42.19:8081/hls/64/806/ch16.m3u8
TVBS ,http://211.23.114.106:8545/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
东森财经,http://211.23.114.106:8546/http/116.50.42.19:8081/hls/63/805/ch11.m3u8
寰宇新闻,http://211.23.114.106:8547/http/116.50.42.19:8081/hls/76/818/ch62.m3u8
壹新闻台,http://211.23.114.106:8548/http/116.50.42.19:8081/hls/66/808/ch24.m3u8
CNN新闻,http://211.23.114.106:8549/http/116.50.42.19:8081/hls/68/810/ch29.m3u8
CNBC新闻,http://211.23.114.106:8550/http/116.50.42.19:8078/hls/24/80/cnbc90.m3u8
Bloomberg,http://211.23.114.106:8551/http/116.50.42.19:8078/hls/43/80/bloomber.m3u8
NHK新闻,http://211.23.114.106:8552/http/116.50.42.19:8081/hls/62/804/ch06.m3u8
卫视电影台,http://211.23.114.106:8553/http/116.50.42.19:8081/hls/62/804/ch07.m3u8
好莱坞电影,http://211.23.114.106:8554/http/116.50.42.19:8081/hls/74/816/ch55.m3u8
纬来电影台,http://211.23.114.106:8555/http/116.50.42.19:8081/hls/69/811/ch35.m3u8
龙华电影台,http://211.23.114.106:8556/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
HBO ,http://211.23.114.106:8511/http/116.50.42.19:8081/hls/71/813/ch41.m3u8
AXN电影,http://211.23.114.106:8558/http/116.50.42.19:8081/hls/71/813/ch43.m3u8
Cinemax,http://211.23.114.106:8559/http/116.50.42.19:8081/hls/71/813/ch42.m3u8
FOXmovies,http://211.23.114.106:8560/http/116.50.42.19:8081/hls/62/804/ch08.m3u8
FOX频道,http://211.23.114.106:8561/http/116.50.42.19:8081/hls/61/803/ch02.m3u8
纬来育乐,http://211.23.114.106:8562/http/116.50.42.19:8081/hls/68/810/ch30.m3u8
纬来体育,http://211.23.114.106:8563/http/59.120.8.187:8081/hls/67/809/ch28.m3u8
博斯运动I,http://211.23.114.106:8564/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8
博斯运动II,http://211.23.114.106:8565/http/59.120.8.187:8081/hls/61/803/ch04.m3u8
ELEVEN SPORTS 1,http://211.23.114.106:8566/http/59.120.8.187:8078/hls/25/80/esport.m3u8
ELEVEN SPORTS 2,http://211.23.114.106:8567/http/59.120.8.187:8078/hls/26/80/esport2.m3u8
亚洲旅游台,http://58.99.33.16:1935/liveedge17/live_172_3.stream/chunklist.m3u8
中台湾生活网,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
寰宇新闻台,http://58.99.33.16:1935/liveedge17/live_163_3.stream/chunklist.m3u8
台视新闻台,http://seb.sason.top/sc/tsxw_f.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_f.m3u8
东森新闻台,http://seb.sason.top/sc/dsxw_f.m3u8
东森财经新闻台,http://seb.sason.top/sc/dscjxw_f.m3u8
三立台湾台,https://setlive-lh.akamai.net/i/settaiwan_1@301196/index_1080_av-b.m3u8?sd=10&rebase=on
三立都会台,https://setlive-lh.akamai.net/i/setmetro_1@132201/index_1080_av-b.m3u8?sd=10&rebase=on
三立财经新闻台,http://seb.sason.top/sc/slinews_f.m3u8
民视,http://seb.sason.top/ptv/ftv.php?id=ms
民视第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民视新闻台,http://seb.sason.top/sc/msxw_f.m3u8
民视台湾台,http://seb.sason.top/ptv/ftv.php?id=tw
民视综艺台,http://seb.sason.top/ptv/ftv.php?id=zy
民视旅游台,http://seb.sason.top/ptv/ftv.php?id=ly
民视影剧台,http://seb.sason.top/ptv/ftv.php?id=yj
翡翠台,http://185.207.176.189:8080/channels/tv-81/chunks.m3u8
NHK,http://58.99.33.16:1935/liveedge17/live_108_3.stream/chunklist.m3u8
FRANCE24,http://58.99.33.16:1935/liveedge17/live_156_3.stream/chunklist.m3u8
TV5monde,http://58.99.33.16:1935/liveedge17/live_157_3.stream/chunklist.m3u8
体育,#genre#
CCTV5,http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.135.32.24:6610/000000001000/1000000001000004794/index.m3u8?i
CCTV5,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000064
CCTV5+,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5p/2300000/mnf.m3u8
CCTV5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV5+,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV5+,http://117.169.124.46:6410/ysten-businessmobile/live/cctv05plus/1.m3u8
CCTV5+,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5p/4000000/mnf.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
爱尔达体育1,rtmp://161.202.204.248/sat/md011
爱尔达体育1,rtmp://161.202.204.248/sat/md051
博斯网球,rtmp://161.202.204.248/sat/md031
博斯魅力,rtmp://161.202.204.248/sat/md041
日本MLB,rtmp://161.202.204.248:1935/sat/jp071
有线18台,rtmp://161.202.204.248/sat/hk041
有线 SPORTS 1,rtmp://161.202.204.248:1935/sat/hk021
有线603,rtmp://161.202.204.248:1935/sat/hk011
博斯运动2,http://58.99.33.16:1935/liveedge17/live_244_3.stream/chunklist.m3u8
智林体育台,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
魅力足球,http://140.207.241.2:8080/live/program/live/mlyy/4000000/mnf.m3u8
五星体育,http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsj/4000000/mnf.m3u8
极速汽车,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jsqc/4000000/mnf.m3u8
山东体育,http://livealone302.iqilu.com/iqilu/typd.m3u8
精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
咪咕视频·PP体育1,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
弈坛春秋,http://223.110.241.149:6610/gitv/live1/G_YITANCQ/G_YITANCQ/1.m3u8
吉林篮球,http://223.110.241.149:6610/gitv/live1/G_LANQIU/G_LANQIU/1.m3u8
ufc 2,https://stadiumlivein-i.akamai.net/hls/live/522512/mux_4/master.m3u8
ufc 3,https://live-k2302-kbp.1plus1.video/sport/smil:sport.smil/chunklist_b6000000.m3u8
sports,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/chunklist.m3u8
Canal+ Sport ,http://207.110.52.61:8080/s/hls/5/293/canal_plus_sport_polska_250/1/1/tracks-v1a1/mono.m3u8
ELEVEN SPORTS 1,http://207.110.52.61:8080/s/hls/5/3570/eleven_sports_1_355/1/1/index.m3u8
ELEVEN SPORTS 2,http://207.110.52.61:8080/s/hls/5/9335/eleven_sports_2_303/1/1/tracks-v1a1/mono.m3u8
国外,#genre#
ASTRO Prima ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6727
ASTRO Warna ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6740
Astro Citra  (subtitle),http://iptv.tvmalaysia.cc:80/kl570/kl570/7267
Astro Boo,http://iptv.tvmalaysia.cc:80/kl570/kl570/8872
ASTRO Naura ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6724
Awesome TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/9016
ASTRO Oasis ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6725
ASTRO Aura ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6713
ASTRO Rania ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6729
ASTRO Awani ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6714
ASTRO Ceria ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6715
Asian Food Network ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6693
Al-Jazzera ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6694
Animax,http://iptv.tvmalaysia.cc:80/kl570/kl570/6696
ASTRO AEC ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6701
ASTRO AOD 353 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6704
ASTRO AOD 355 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6706
ASTRO Colors Tamil,http://iptv.tvmalaysia.cc:80/kl570/kl570/6716
ASTRO Zee Tamil ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6742
ASTRO Vinmeen ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6739
ASTRO Vaanavil ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6738
Makkal TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/6806
ASTRO Sun TV ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6733
ASTRO Star Vijay ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6732
Jaya Max,http://iptv.tvmalaysia.cc:80/kl570/kl570/6802
Chutti TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/6762
ASTRO Oh!K ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6726
Bernama News,http://iptv.tvmalaysia.cc:80/kl570/kl570/6750
Bloomberg TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/6751
BollyOne ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6754
Cartoon Network ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6757
DMAX ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6778
Colors ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6769
tvN Movies,http://iptv.tvmalaysia.cc:80/kl570/kl570/6845
tvN,http://iptv.tvmalaysia.cc:80/kl570/kl570/6844
TVB Classic,http://iptv.tvmalaysia.cc:80/kl570/kl570/6839
TV-AlHijrah,http://iptv.tvmalaysia.cc:80/kl570/kl570/6834
SunMusic,http://iptv.tvmalaysia.cc:80/kl570/kl570/6831
SkyNews,http://iptv.tvmalaysia.cc:80/kl570/kl570/6826
One,http://iptv.tvmalaysia.cc:80/kl570/kl570/6817
Nickelodeon ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6814
Nick Jr,http://iptv.tvmalaysia.cc:80/kl570/kl570/6813
KBS World ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6803
Hits,http://iptv.tvmalaysia.cc:80/kl570/kl570/6800
HGTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/6798
TV 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/7177
TV 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/7178
TV 3,http://iptv.tvmalaysia.cc:80/kl570/kl570/7266
TV 3,http://iptv.tvmalaysia.cc:80/kl570/kl570/8750
TV 9,http://iptv.tvmalaysia.cc:80/kl570/kl570/7185
BERNAMA,http://iptv.tvmalaysia.cc:80/kl570/kl570/7190
ShowCase Movies,http://iptv.tvmalaysia.cc:80/kl570/kl570/9030
Galaxy Premium,http://iptv.tvmalaysia.cc:80/kl570/kl570/8838
Cinemax F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7062
HBO F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7067
HBO Hits F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7068
HBO Signature F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7069
HBO Family F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7070
Hits Movies,http://iptv.tvmalaysia.cc:80/kl570/kl570/7066
Red By HBO ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7071
Warner TV ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7072
tVN movies ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7074
National Geographic ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7075
Nat Geo Wild ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7081
Nat Geo People ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7080
History F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7079
Discovery Channel ,http://iptv.tvmalaysia.cc:80/kl570/kl570/7078
Animal Planet,http://iptv.tvmalaysia.cc:80/kl570/kl570/7077
HGTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/7076
Era FM,http://iptv.tvmalaysia.cc:80/kl570/kl570/7169
Hot FM,http://iptv.tvmalaysia.cc:80/kl570/kl570/7170
Hitz FM,http://iptv.tvmalaysia.cc:80/kl570/kl570/7171
Sinar FM,http://iptv.tvmalaysia.cc:80/kl570/kl570/7172
THR GEGAR,http://iptv.tvmalaysia.cc:80/kl570/kl570/7174
Cinema World,http://iptv.tvmalaysia.cc:80/kl570/kl570/7219
Thrill,http://iptv.tvmalaysia.cc:80/kl570/kl570/7220
AXN,http://iptv.tvmalaysia.cc:80/kl570/kl570/7223
Fox Crime,http://iptv.tvmalaysia.cc:80/kl570/kl570/7225
FOX,http://iptv.tvmalaysia.cc:80/kl570/kl570/7227
KiX,http://iptv.tvmalaysia.cc:80/kl570/kl570/7229
Celestial Classic Movies.,http://iptv.tvmalaysia.cc:80/kl570/kl570/7222
Celestial Movies,http://iptv.tvmalaysia.cc:80/kl570/kl570/7235
Blue Ant Entertainment,http://iptv.tvmalaysia.cc:80/kl570/kl570/8860
Blue Ant Extreme,http://iptv.tvmalaysia.cc:80/kl570/kl570/8861
Sony One,http://iptv.tvmalaysia.cc:80/kl570/kl570/8863
TvN,http://iptv.tvmalaysia.cc:80/kl570/kl570/8865
Didik TV (NTV 7),http://iptv.tvmalaysia.cc:80/kl570/kl570/8922
Tom & Jerry ,http://iptv.tvmalaysia.cc:80/kl570/kl570/8986
STARZ KIDS&FAMILY,http://iptv.tvmalaysia.cc:80/kl570/kl570/8991
Star Movies ,http://iptv.tvmalaysia.cc:80/kl570/kl570/8997
foxmoviebeta,http://iptv.tvmalaysia.cc:80/kl570/kl570/9007
Crime & Investigation.,http://iptv.tvmalaysia.cc:80/kl570/kl570/9009
Fox Family Movie,http://iptv.tvmalaysia.cc:80/kl570/kl570/9027
ASTRO Arena ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6707
Arena 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/9028
EPL LIVE 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/9022
EPL LIVE 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/9023
ASTRO SUPERSPORT ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6708
ASSP 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/9024
ASTRO SUPERSPORT 2 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6710
ASSP 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/9025
ASTRO SUPERSPORT 3 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6711
ASSP 3 (LIVE EPL ONLY),http://iptv.tvmalaysia.cc:80/kl570/kl570/9020
ASTRO SUPERSPORT 4 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6712
ASSP 4,http://iptv.tvmalaysia.cc:80/kl570/kl570/9026
Astro Supersport 5,http://iptv.tvmalaysia.cc:80/kl570/kl570/9029
FOX Sports 3 ,http://iptv.tvmalaysia.cc:80/kl570/kl570/6792
ASTRO Cricket,http://iptv.tvmalaysia.cc:80/kl570/kl570/6717
beIN MAX,http://iptv.tvmalaysia.cc:80/kl570/kl570/6748
beIN MAX 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/7195
WWE Network,http://iptv.tvmalaysia.cc:80/kl570/kl570/6849
Rugby Pass TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/6821
TSN 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/8923
TSN 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/8924
TSN 3,http://iptv.tvmalaysia.cc:80/kl570/kl570/8925
DSTV: SuperSport Grandsta,http://iptv.tvmalaysia.cc:80/kl570/kl570/6572
DSTV: SuperSport PSL,http://iptv.tvmalaysia.cc:80/kl570/kl570/6573
DSTV: SuperSport Premier,http://iptv.tvmalaysia.cc:80/kl570/kl570/6574
DSTV: SuperSport Football,http://iptv.tvmalaysia.cc:80/kl570/kl570/6576
DSTV: SuperSport Variety,http://iptv.tvmalaysia.cc:80/kl570/kl570/6577
DSTV: SuperSport Variety,http://iptv.tvmalaysia.cc:80/kl570/kl570/6579
DSTV: SuperSport Variety,http://iptv.tvmalaysia.cc:80/kl570/kl570/6580
DSTV: Supersport Blitz,http://iptv.tvmalaysia.cc:80/kl570/kl570/6584
DSTV: SuperSport MáXimo,http://iptv.tvmalaysia.cc:80/kl570/kl570/6585
DSTV: SuperSport Rugby,http://iptv.tvmalaysia.cc:80/kl570/kl570/6582
DSTV: SuperSport Action,http://iptv.tvmalaysia.cc:80/kl570/kl570/6581
DSTV: SuperSport Motorspo,http://iptv.tvmalaysia.cc:80/kl570/kl570/7142
BT Sport 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/6610
BT Sport 2,http://iptv.tvmalaysia.cc:80/kl570/kl570/6611
BT Sport 3,http://iptv.tvmalaysia.cc:80/kl570/kl570/6612
Sky Sports News,http://iptv.tvmalaysia.cc:80/kl570/kl570/6614
Sky Sports F1,http://iptv.tvmalaysia.cc:80/kl570/kl570/6617
Sky Sports Golf,http://iptv.tvmalaysia.cc:80/kl570/kl570/6618
Sky Sports Football,http://iptv.tvmalaysia.cc:80/kl570/kl570/6620
MUTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/7236
LFC TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/7237
FS 1,http://iptv.tvmalaysia.cc:80/kl570/kl570/9003
Disney XD,http://iptv.tvmalaysia.cc:80/kl570/kl570/7198
Boomerang,http://iptv.tvmalaysia.cc:80/kl570/kl570/7199
Nickelodeon,http://iptv.tvmalaysia.cc:80/kl570/kl570/7201
Universal Kids F,http://iptv.tvmalaysia.cc:80/kl570/kl570/7205
RRI NET,http://iptv.tvmalaysia.cc:80/kl570/kl570/8841
SCTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/8842
TransTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/8843
Trans 7,http://iptv.tvmalaysia.cc:80/kl570/kl570/8844
Indosiar,http://iptv.tvmalaysia.cc:80/kl570/kl570/8845
ANTV,http://iptv.tvmalaysia.cc:80/kl570/kl570/8846
Metro TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/8848
CNBC Indonesia,http://iptv.tvmalaysia.cc:80/kl570/kl570/8849
Kompas TV,http://iptv.tvmalaysia.cc:80/kl570/kl570/8850
CNN Indonesia,http://iptv.tvmalaysia.cc:80/kl570/kl570/8851
NHK WORLD TV,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK Chinese Vision,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
Animax Japan (Vietnamese,https://livecdn.fptplay.net/a3/animaxport_2000.stream/playlist.m3u8
CGNTV Japan,http://cgntv-glive.ofsdelivery.net/live/cgntv_jp/playlist.m3u8
New Japan Pro Wrestling W,https://aka-amd-njpwworld-hls-enlive.akamaized.net/hls/video/njpw_en/njpw_en_channel01_3/playlist_DVR.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/.m3u8
Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/chunklist_b1728000_sleng.m3u8
